,validate_dataset_name,sample_network_path,n_units,n_trained_parameters,mean_performance,ci_upper_performance,ci_lower_performance,max_performance
0,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",1,7.0,78.07779440761931,90.66084725650713,65.49474155873149,89.71957974218226
1,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",2,14.0,90.74988322165612,93.61188233655285,87.88788410675939,94.08785096599527
2,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",3,23.0,92.15943589049195,93.2066953392455,91.1121764417384,94.72370203775206
3,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",4,34.0,92.87244279463597,93.61001461542705,92.1348709738449,94.55564538162682
4,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",5,47.0,93.47943579434512,94.14929089130554,92.8095806973847,95.16281264747522
5,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",6,62.0,94.0711614778089,94.47956045081297,93.66276250480483,95.1653365019057
6,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",7,79.0,94.08144918920176,94.67580465939992,93.48709371900361,95.51254676141403
7,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",8,98.0,93.78660690606696,94.34879565857177,93.22441815356215,95.05180311371527
8,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",10,142.0,94.18971853815148,94.92128444298815,93.45815263331481,95.94504727620021
9,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",12,194.0,94.25900835756366,95.00713367003902,93.51088304508829,95.8787860821046
10,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",14,254.0,94.46120515250891,94.99593137716693,93.9264789278509,95.8589157361122
11,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",17,359.0,95.02741386645685,95.4414711331141,94.6133565997996,96.1626195525807
12,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",21,527.0,94.50296893415626,95.07774777367918,93.92819009463334,95.99412222345967
13,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",25,727.0,94.92342305168454,95.62031318787706,94.22653291549202,97.21166164967137
14,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",31,1087.0,95.50857870139276,95.96551805009376,95.05163935269177,96.61531090281076
15,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",37,1519.0,95.47384165096938,96.06653618860607,94.88114711333269,96.59415859901242
16,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.075505,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-12-47/trained_model.pt",45,2207.0,95.55286834052967,96.10325738347707,95.00247929758227,96.98355328257314
