,validate_dataset_name,sample_network_path,n_units,n_trained_parameters,mean_performance,ci_upper_performance,ci_lower_performance,max_performance
0,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.062942,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-50-04/trained_model.pt",1,7.0,46.45269319872587,56.023738113231516,36.88164828422022,57.92048829742215
1,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.062942,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-50-04/trained_model.pt",2,14.0,66.72239161497883,67.56877674816482,65.87600648179284,68.47149645882361
2,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.062942,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-50-04/trained_model.pt",3,23.0,73.1218137581098,74.79405611262142,71.44957140359817,77.81594649066112
3,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.062942,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-50-04/trained_model.pt",4,34.0,76.12116864000816,78.32445565977852,73.91788162023781,81.49176488214542
4,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.062942,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-50-04/trained_model.pt",5,47.0,81.16816782474464,82.50188699071632,79.83444865877297,86.06528961778247
5,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.062942,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-50-04/trained_model.pt",6,62.0,80.62848608832101,82.67484146212826,78.58213071451377,85.68770227181986
6,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.062942,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-50-04/trained_model.pt",7,79.0,82.0480089001593,84.5839257293212,79.51209207099741,88.52821425412154
7,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.062942,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-50-04/trained_model.pt",8,98.0,84.71218727312284,86.22044047245639,83.20393407378928,90.03816517095431
8,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.062942,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-50-04/trained_model.pt",10,142.0,83.68734006530079,85.61144940346456,81.76323072713701,89.54318944158035
9,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_elman_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.062942,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-50-04/trained_model.pt",12,194.0,85.10180433834951,87.18261903809821,83.02098963860081,91.19085055972663
