,validate_dataset_name,sample_network_path,n_units,n_trained_parameters,mean_performance,ci_upper_performance,ci_lower_performance,max_performance
0,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",1,15.0,58.641835131880626,65.09938198233708,52.18428828142417,62.400054510288015
1,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",2,34.0,66.88037980282259,68.50245821436934,65.25830139127584,75.28651770906967
2,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",3,59.0,79.87639951578288,82.52212495970407,77.23067407186169,87.88233906514856
3,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",4,90.0,89.80318917062277,93.1371318108345,86.46924653041104,94.53092064210568
4,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",5,127.0,94.0446793097595,94.74550218831031,93.34385643120869,96.16100936477186
5,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",6,170.0,95.67739791474239,96.04473797736676,95.310057852118,97.0425777947082
6,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",7,219.0,96.29990500546297,96.66885207603717,95.93095793488878,97.2358741449894
7,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",8,274.0,96.86560863047684,97.13933663161866,96.59188062933502,97.69502768947305
8,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",10,402.0,97.40740821909948,97.68850788223001,97.12630855596895,98.40123078492424
9,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",12,554.0,98.05805106593911,98.25922193124943,97.8568802006288,98.63827881374775
10,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",14,730.0,98.28806017489514,98.40078557015414,98.17533477963613,98.71374846689815
11,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",17,1039.0,98.30331349233231,98.54493348532624,98.06169349933838,98.90592910952982
12,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",21,1535.0,98.57860638551367,98.76007196881942,98.39714080220791,99.01339566420069
13,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",25,2127.0,98.62042350668509,98.78826065834647,98.4525863550237,99.05196727151304
14,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",31,3195.0,98.68283938033599,98.82733623178426,98.53834252888772,99.08328677910343
15,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",37,4479.0,98.759944740594,98.9664037470945,98.55348573409348,99.27666282278817
16,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_gru_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.021739,initialization.weight.input_to_hidden.std=1.0,n_units=45,optim_2021-11-10_18-42-17/trained_model.pt",45,6527.0,98.92213476313923,99.095346181779,98.74892334449946,99.43848027867189
