,validate_dataset_name,sample_network_path,n_units,n_trained_parameters,mean_performance,ci_upper_performance,ci_lower_performance,max_performance
0,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",1,15.0,93.84213570965579,93.98841716732093,93.69585425199065,94.43878691537716
1,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",2,28.0,95.47813821267839,95.71060675306974,95.24566967228704,95.77775178252227
2,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",3,41.0,95.9045273942365,96.00064703108636,95.80840775738663,96.17547919182175
3,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",4,54.0,95.91840258442694,96.11986764236795,95.71693752648594,96.49817200829106
4,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",5,67.0,95.96512193421795,96.08519260668017,95.84505126175573,96.41845025723285
5,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",6,80.0,96.01137857736337,96.21129801960429,95.81145913512246,96.8371296644235
6,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",7,93.0,95.98801689940878,96.11066540967884,95.86536838913871,96.35763738381256
7,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",8,106.0,96.17351819699044,96.3234467116416,96.02358968233929,96.78897612433708
8,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",10,132.0,96.18085139625236,96.36617435075063,95.9955284417541,96.75480393657193
9,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",12,158.0,96.12511627757911,96.35405860105442,95.8961739541038,96.80652292180618
10,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",14,184.0,96.47427351050524,96.62090782409963,96.32763919691085,96.81717919606824
11,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",17,223.0,96.45868971092654,96.62002272533127,96.2973566965218,96.89193336062834
12,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",21,275.0,96.3221852413005,96.62815252375358,96.01621795884742,96.93111319607304
13,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",25,327.0,96.25041363169832,96.42801276355924,96.0728144998374,97.03639398088761
14,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",31,405.0,96.3594381339181,96.56797974003108,96.15089652780513,97.03951875303964
15,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",37,483.0,96.2477655876054,96.68175236295005,95.81377881226075,96.85804160113325
16,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grudiag_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=1.0,initialization.weight.input_to_hidden.std=1.0,n_units=45,optimizer._2021-11-10_18-29-12/trained_model.pt",45,587.0,96.3369898509003,96.60916118320706,96.06481851859353,96.91653092603023
