,validate_dataset_name,sample_network_path,n_units,n_trained_parameters,mean_performance,ci_upper_performance,ci_lower_performance,max_performance
0,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",1,2.0,53.228626758786014,63.368750111925706,43.08850340564632,89.3869116915353
1,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",2,3.0,71.16863674203245,76.16196837502181,66.17530510904308,89.14121646578656
2,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",3,4.0,79.25510639849179,83.26565317633063,75.24455962065295,90.92345830552419
3,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",4,5.0,85.07513674884282,87.35409652941905,82.7961769682666,91.1254868435074
4,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",5,6.0,84.30225640598321,86.40746687809802,82.19704593386841,91.47129496166545
5,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",6,7.0,83.82787793518261,86.66766816663313,80.98808770373209,90.68853953758179
6,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",7,8.0,86.49994471556961,88.68802329829481,84.31186613284441,93.01461191531708
7,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",8,9.0,86.47338014615922,89.12108653746797,83.82567375485046,92.23642346591716
8,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",10,11.0,88.3878879825269,89.71183187355463,87.06394409149918,93.42924514318267
9,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",12,13.0,89.56784801749231,90.89988598311338,88.23581005187124,93.72233274657056
10,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",14,15.0,90.60508007829559,91.70556314740307,89.5045970091881,93.60102748918148
11,B_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_b_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.25887,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_18-36-24/trained_model.pt",17,18.0,90.7697695921211,92.10261411466742,89.43692506957477,95.32129468123719
