,validate_dataset_name,sample_network_path,n_units,n_trained_parameters,mean_performance,ci_upper_performance,ci_lower_performance,max_performance
0,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",1,2.0,27.218552783730434,34.8575248988046,19.57958066865627,59.854288580971286
1,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",2,3.0,42.24912118099248,46.74039345482706,37.75784890715791,56.24680728302076
2,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",3,4.0,51.890975040822944,55.860363854543714,47.921586227102175,62.65854006466323
3,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",4,5.0,56.061765177011,58.408603861934445,53.71492649208755,60.87253119797516
4,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",5,6.0,58.368379171650815,60.41286543216229,56.32389291113934,63.86195030478742
5,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",6,7.0,61.11649462189066,63.264075206241934,58.968914037539385,67.09686494119822
6,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",7,8.0,64.1361354596596,66.16469320883593,62.10757771048327,71.77068382518775
7,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",8,9.0,64.4893386164747,66.3780837274832,62.60059350546619,71.76626084129138
8,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",10,11.0,67.26328867580644,68.99425461898275,65.53232273263012,78.11061285024255
9,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",12,13.0,70.12269994875716,72.02127596309818,68.22412393441614,78.53517945759076
10,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",14,15.0,69.84107939933486,71.97041724119646,67.71174155747326,76.53802291822899
11,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",17,18.0,75.78715366242992,77.14523029008197,74.42907703477786,81.82336913426666
12,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",21,22.0,75.17017928624995,76.41870644182626,73.92165213067364,79.79126703745351
13,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",25,26.0,76.4901451137185,78.17286448465329,74.8074257427837,83.07499388353128
14,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",31,32.0,80.71176569501814,81.68257719265367,79.74095419738262,84.34869370557591
15,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",37,38.0,80.41737029300873,81.91354456941505,78.92119601660241,85.28815939318255
16,MI_PC1by75_NMB400_N1000_20-11-28,"trained_models/raw_training_outputs/complexity/grid_nunit_grureservoir_mi_2020-12-12/16_16_i_grid=16,initialization.weight.hidden_to_hidden.std=0.31308,initialization.weight.input_to_hidden.std=2.0,n_units=45,optimi_2021-11-10_19-16-19/trained_model.pt",45,46.0,81.9026102777395,83.14265987154093,80.66256068393807,86.61812275812494
