,data_dir,hyperparameter_keys,hyperparameter_values,n_trials,did_all_trial_complete,mean_loss,min_loss
0,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.004101979201972421, 1.0, 0.055578336651044405)",10,True,0.5495659649372101,0.5465992093086243
1,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.02079868855532117, 1.0, 0.11502941222898946)",20,True,0.5556876718997955,0.5443463921546936
2,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.03458858137056756, 0.07213402434075626, 0.09102604065102803)",10,True,0.589658671617508,0.5587607622146606
3,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0021397285495674176, 0.05235684622326474, 0.0935110311493796)",10,True,0.5824527561664581,0.5815488696098328
4,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00039142872568407417, 0.06589100344719315, 0.03204387281102389)",10,True,0.583780950307846,0.5832957625389099
5,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.017691563174972644, 1.0, 0.03635904465730313)",10,True,0.5652924358844758,0.5443456768989563
6,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.012469810980859981, 0.021739130434782608, 0.3333333333333333)",10,True,0.6880269110202789,0.6562200784683228
7,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0009572348890209121, 0.44395314435592276, 0.021739130434782608)",10,True,0.5797696650028229,0.5752831697463989
8,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.006014458808993631, 0.2844724931496043, 0.06690721295757261)",10,True,0.5517427265644074,0.5473356246948242
9,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.002223402957397116, 1.0, 0.03741433136654364)",20,True,0.5556687176227569,0.545793354511261
