,data_dir,hyperparameter_keys,hyperparameter_values,n_trials,did_all_trial_complete,mean_loss,min_loss
0,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.03458858137056756, 0.07213402434075626, 0.11259886129372126)",10,True,0.543173485994339,0.5420640707015991
1,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.074083569823308, 0.021739130434782608, 0.49999999999999994)",20,True,0.5425434470176697,0.5416239500045776
2,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 1.0, 0.49999999999999994)",50,True,0.5425688791275024,0.5410956740379333
3,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.02491119952678336, 1.0, 0.49999999999999994)",20,True,0.5426318794488907,0.5418848395347595
4,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.07090908827981793, 1.0, 0.021739130434782608)",10,True,0.5421469807624817,0.5415387153625488
5,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.025232275212512065, 1.0, 0.49999999999999994)",20,True,0.5428359746932984,0.5418923497200012
6,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.03984799835791162, 0.021739130434782608, 0.49999999999999994)",10,True,0.5425315082073212,0.541715145111084
7,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 1.0, 0.021739130434782608)",10,True,0.5422243058681488,0.5413194894790649
8,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0432205465881437, 1.0, 0.021739130434782608)",10,True,0.5422038972377777,0.5418130755424501
9,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.025601918563697867, 0.031013261399241005, 0.11036336087959149)",10,True,0.5433798730373383,0.5423828959465027
10,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.05994210308674207, 1.0, 0.021739130434782608)",10,True,0.5423657774925232,0.5415757894515991
11,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04768921753806337, 1.0, 0.021739130434782608)",20,True,0.5424664974212646,0.5415939092636108
12,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.05519326346081447, 0.12515927635515706, 0.08389506139169939)",10,True,0.542695266008377,0.5416420698165894
13,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 0.021739130434782608, 0.021739130434782608)",40,True,0.5424576058983803,0.5412670969963074
14,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00039142872568407417, 0.06589100344719315, 0.03394463263182577)",10,True,0.6736988246440887,0.660085141658783
15,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.019770287951138846, 1.0, 0.021739130434782608)",10,True,0.5427942991256713,0.5421157479286194
16,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.03936051352760933, 0.5198914583315886, 0.2930462415014981)",10,True,0.5422245144844056,0.5417280793190002
17,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.07123176586681229, 1.0, 0.021739130434782608)",10,True,0.5420277059078217,0.5416195392608643
18,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.006014458808993631, 0.2844724931496043, 0.07906516573740958)",10,True,0.5504651010036469,0.5482084155082703
19,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.03499173680629088, 1.0, 0.021739130434782608)",10,True,0.5422798871994019,0.5419062972068787
20,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.07369341607885427, 1.0, 0.021739130434782608)",10,True,0.5428561091423034,0.5417423248291016
21,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 0.28240191425891714, 0.4084997195570967)",10,True,0.5575030088424683,0.5552336573600769
22,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.09933940306516521, 0.053678573217590585, 0.07538365385060256)",10,True,0.5426849663257599,0.5419605374336243
23,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.030801793209801406, 1.0, 0.021739130434782608)",10,True,0.5424194276332855,0.5418145656585693
24,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.06833743043656554, 0.021739130434782608, 0.49999999999999994)",20,True,0.5426949173212051,0.5413990020751953
25,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04791620123447768, 1.0, 0.49999999999999994)",20,True,0.5424088120460511,0.5414748191833496
26,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0006594014877215836, 0.027274026947300866, 0.1779585528012967)",10,True,0.6179830193519592,0.568206250667572
27,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04068149702441227, 0.021739130434782608, 0.49999999999999994)",10,True,0.5424768388271332,0.5418862104415894
28,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.030832803553485222, 1.0, 0.021739130434782608)",10,True,0.5423140108585358,0.5416737198829651
29,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.03039472766907356, 1.0, 0.49999999999999994)",10,True,0.5424049317836761,0.5416952967643738
30,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0021397285495674176, 0.05235684622326474, 0.11613642793284175)",10,True,0.5539570987224579,0.5529709458351135
31,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.03036258887660651, 1.0, 0.49999999999999994)",10,True,0.5422952175140381,0.5414514541625977
32,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.06567247264241928, 0.42807017195662456, 0.20521029735668456)",10,True,0.542014867067337,0.5415002703666687
33,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.06862823291118728, 1.0, 0.49999999999999994)",20,True,0.5426731616258621,0.5416748523712158
34,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.004158920493053267, 0.021739130434782608, 0.49999999999999994)",20,True,0.5513483583927155,0.5471003055572511
35,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.014632436626678087, 0.021739130434782608, 0.021739130434782608)",10,True,0.5476306021213532,0.5452678799629211
36,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.047941155852232686, 1.0, 0.49999999999999994)",10,True,0.5427266180515289,0.5416638255119324
37,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.07363971521123176, 1.0, 0.021739130434782608)",10,True,0.542245215177536,0.541808545589447
38,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04479968602780592, 1.0, 0.49999999999999994)",10,True,0.5425703227519989,0.5416929721832275
39,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.025471105983944742, 1.0, 0.49999999999999994)",10,True,0.5424370110034943,0.5420302152633667
40,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.014276716344899562, 1.0, 0.49999999999999994)",10,True,0.543112063407898,0.5421327352523804
41,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04662381232849249, 1.0, 0.49999999999999994)",10,True,0.5423350691795349,0.5415785312652588
42,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.03501929440669877, 1.0, 0.021739130434782608)",10,True,0.5422763764858246,0.5419144034385681
43,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_gru11_b_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.014453959639145317, 0.021739130434782608, 0.021739130434782608)",10,True,0.5472910284996033,0.5449866056442261
