,data_dir,hyperparameter_keys,hyperparameter_values,n_trials,did_all_trial_complete,mean_loss,min_loss
0,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04463181960181541, 2.0, 0.2787958267140619)",10,True,0.5622874975204468,0.5584427118301392
1,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.22142449805051212)",10,True,0.5652460515499115,0.5553712248802185
2,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.3143428236823942)",20,True,0.5609536349773407,0.5554357171058655
3,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.025601918563697867, 0.03307373685496405, 0.22635173963892957)",10,True,0.6015728712081909,0.5977336168289185
4,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0006594014877215836, 0.028417328382334843, 0.4508343218385062)",10,True,0.690759927034378,0.6886124014854431
5,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 0.4492429628104858, 1.494315865813706)",10,True,0.6711606442928314,0.66173255443573
6,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 0.021739130434782608, 0.021739130434782608)",20,True,0.6349250555038453,0.6316788792610168
7,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.3102828496332488)",10,True,0.5598229706287384,0.5557881593704224
8,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.05519326346081447, 0.17182858149110122, 0.15242028586432474)",10,True,0.593367999792099,0.588747501373291
9,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.3083460759760901)",10,True,0.5626759171485901,0.5564388632774353
10,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir45_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.31308349946239045)",10,True,0.5586190044879913,0.5527239441871643
