,data_dir,hyperparameter_keys,hyperparameter_values,did_trial_complete,validation_loss
0,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.08180308241441916, 1.0, 0.021739130434782608)",True,0.5364908576011658
1,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.08180308241441916, 1.0, 0.021739130434782608)",True,0.5385453104972839
2,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.08180308241441916, 1.0, 0.021739130434782608)",True,0.5398097038269043
3,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.08180308241441916, 1.0, 0.021739130434782608)",True,0.5365142822265625
4,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.08180308241441916, 1.0, 0.021739130434782608)",True,0.538118839263916
5,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.08180308241441916, 1.0, 0.021739130434782608)",True,0.5401105284690857
6,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.08180308241441916, 1.0, 0.021739130434782608)",True,0.5420117378234863
7,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.08180308241441916, 1.0, 0.021739130434782608)",True,0.5384798049926758
8,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.08180308241441916, 1.0, 0.021739130434782608)",True,0.5383796095848083
9,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.08180308241441916, 1.0, 0.021739130434782608)",True,0.5396448969841003
10,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5443917512893677
11,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5381630659103394
12,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5393770337104797
13,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.54150390625
14,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.538048505783081
15,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5388290286064148
16,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5385168790817261
17,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5388391613960266
18,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5426385998725891
19,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5430529117584229
20,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_mi_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00024231111933338832, 1.0, 0.49812675477413587)",True,0.6649996638298035
