,data_dir,hyperparameter_keys,hyperparameter_values,did_trial_complete,validation_loss
0,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04401568067110456, 1.0, 0.021739130434782608)",True,0.5412847399711609
1,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04401568067110456, 1.0, 0.021739130434782608)",True,0.541982114315033
2,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04401568067110456, 1.0, 0.021739130434782608)",True,0.541826069355011
3,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04401568067110456, 1.0, 0.021739130434782608)",True,0.5413859486579895
4,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04401568067110456, 1.0, 0.021739130434782608)",True,0.543079674243927
5,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04401568067110456, 1.0, 0.021739130434782608)",True,0.5428348779678345
6,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04401568067110456, 1.0, 0.021739130434782608)",True,0.541643500328064
7,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04401568067110456, 1.0, 0.021739130434782608)",True,0.5413816571235657
8,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04401568067110456, 1.0, 0.021739130434782608)",True,0.5429633259773254
9,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.04401568067110456, 1.0, 0.021739130434782608)",True,0.5434545278549194
10,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5424560904502869
11,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5416052341461182
12,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5426459908485413
13,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5438609719276428
14,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5415616631507874
15,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5416197180747986
16,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5430391430854797
17,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5438493490219116
18,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5421279072761536
19,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0980741228990047, 1.0, 0.3840493026286296)",True,0.5426698923110962
20,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00024231111933338832, 1.0, 0.49812675477413587)",True,0.6433155536651611
21,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00024231111933338832, 1.0, 0.49812675477413587)",True,0.5684009790420532
22,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00024231111933338832, 1.0, 0.49812675477413587)",True,0.6492847204208374
23,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00024231111933338832, 1.0, 0.49812675477413587)",True,0.5901716351509094
24,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00024231111933338832, 1.0, 0.49812675477413587)",True,0.5923939347267151
25,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00024231111933338832, 1.0, 0.49812675477413587)",True,0.5986373424530029
26,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00024231111933338832, 1.0, 0.49812675477413587)",True,0.6057605743408203
27,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00024231111933338832, 1.0, 0.49812675477413587)",True,0.5822681784629822
28,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00024231111933338832, 1.0, 0.49812675477413587)",True,0.5785380005836487
29,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.00024231111933338832, 1.0, 0.49812675477413587)",True,0.5647358894348145
30,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0005108188686258306, 1.0, 0.0471822622270028)",True,0.557966411113739
31,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0005108188686258306, 1.0, 0.0471822622270028)",True,0.5625446438789368
32,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0005108188686258306, 1.0, 0.0471822622270028)",True,0.556636393070221
33,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0005108188686258306, 1.0, 0.0471822622270028)",True,0.5551085472106934
34,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0005108188686258306, 1.0, 0.0471822622270028)",True,0.5586894750595093
35,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0005108188686258306, 1.0, 0.0471822622270028)",True,0.5569745302200317
36,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0005108188686258306, 1.0, 0.0471822622270028)",True,0.5552061796188354
37,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0005108188686258306, 1.0, 0.0471822622270028)",True,0.5568893551826477
38,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0005108188686258306, 1.0, 0.0471822622270028)",True,0.5590188503265381
39,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0005108188686258306, 1.0, 0.0471822622270028)",True,0.5574578046798706
40,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 1.0, 0.13736573904463914)",True,0.5496741533279419
41,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 1.0, 0.13736573904463914)",True,0.5493684411048889
42,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 1.0, 0.13736573904463914)",True,0.547767698764801
43,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 1.0, 0.13736573904463914)",True,0.5470633506774902
44,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 1.0, 0.13736573904463914)",True,0.5471934676170349
45,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 1.0, 0.13736573904463914)",True,0.5472849607467651
46,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 1.0, 0.13736573904463914)",True,0.5500118136405945
47,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 1.0, 0.13736573904463914)",True,0.547971248626709
48,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 1.0, 0.13736573904463914)",True,0.5478014349937439
49,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0014579150644317594, 1.0, 0.13736573904463914)",True,0.5495836734771729
50,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.06406446628303947, 1.0, 0.2740670731130585)",True,0.542099118232727
