,group_id,n_networks,network_id,network_path,progress_path,date,config/seed,config/train_dataset_name,config/validate_dataset_name,config/optimizer.name,config/optimizer.lr,config/shuffle_minibatches,config/model_class,config/estimate_type
0,drtransition_b_20_20-09-03,20,b300f_00000,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00000.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00000.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
1,drtransition_b_20_20-09-03,20,b300f_00001,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00001.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00001.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
2,drtransition_b_20_20-09-03,20,b300f_00002,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00002.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00002.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
3,drtransition_b_20_20-09-03,20,b300f_00003,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00003.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00003.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
4,drtransition_b_20_20-09-03,20,b300f_00004,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00004.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00004.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
5,drtransition_b_20_20-09-03,20,b300f_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00005.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00005.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
6,drtransition_b_20_20-09-03,20,b300f_00006,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00006.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00006.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
7,drtransition_b_20_20-09-03,20,b300f_00007,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00007.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00007.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
8,drtransition_b_20_20-09-03,20,b300f_00008,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00008.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00008.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
9,drtransition_b_20_20-09-03,20,b300f_00009,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00009.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00009.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
10,drtransition_b_20_20-09-03,20,b300f_00010,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00010.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00010.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
11,drtransition_b_20_20-09-03,20,b300f_00011,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00011.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00011.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
12,drtransition_b_20_20-09-03,20,b300f_00012,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00012.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00012.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
13,drtransition_b_20_20-09-03,20,b300f_00013,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00013.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00013.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
14,drtransition_b_20_20-09-03,20,b300f_00014,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00014.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00014.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
15,drtransition_b_20_20-09-03,20,b300f_00015,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00015.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00015.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
16,drtransition_b_20_20-09-03,20,b300f_00016,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00016.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00016.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
17,drtransition_b_20_20-09-03,20,b300f_00017,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00017.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00017.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
18,drtransition_b_20_20-09-03,20,b300f_00018,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00018.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00018.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
19,drtransition_b_20_20-09-03,20,b300f_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/network_b300f_00019.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/drtransition_b_20_20-09-03/progress_b300f_00019.csv,2021-11-10_23-15-50,37,B_PC1by75_NMB160_28-02-20,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,deltarule,transition
