,network_id,network_path,n_training_updates,validation_loss
0,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,0,0.7732741832733154
1,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,1,0.7146359086036682
2,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,3,0.6701490879058838
3,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,5,0.5992559194564819
4,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,7,0.5565512180328369
5,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,9,0.5749000310897827
6,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,11,0.5681411623954773
7,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,13,0.5586413145065308
8,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,15,0.5690464377403259
9,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,17,0.5541568398475647
10,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,19,0.5495390295982361
11,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,21,0.544070303440094
12,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,23,0.5441343784332275
13,568d8_00019,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/gru11_b1by300_2020-12-28/network_568d8_00019.pt,25,0.543274462223053
