,network_id,network_path,n_training_updates,validation_loss
0,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,0,0.6942541599273682
1,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,1,0.6767639517784119
2,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,6,0.6366288661956787
3,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,11,0.6167889833450317
4,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,16,0.6072134375572205
5,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,21,0.5980021357536316
6,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,26,0.5953372716903687
7,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,31,0.5931950211524963
8,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,36,0.5924175381660461
9,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,41,0.5913552045822144
10,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,46,0.5902125239372253
11,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,51,0.5896950960159302
12,6cfa6_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/grureservoir11_mi_2020-12-11/network_6cfa6_00005.pt,56,0.5895035266876221
