,group_id,n_networks,network_id,network_path,progress_path,date,config/seed,config/train_dataset_name,config/validate_dataset_name,config/optimizer.name,config/optimizer.lr,config/shuffle_minibatches,config/model_class,config/estimate_type
0,leakyitem_mi_20_20-09-03,20,9621f_00000,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/network_9621f_00000.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/progress_9621f_00000.csv,2021-11-10_23-29-17,37,MI_PC1by75_NMB400_01-03-20,MI_PC1by75_NMB400_01-03-20,SGD,0.003,True,leakyintegrator,item
1,leakyitem_mi_20_20-09-03,20,9621f_00001,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/network_9621f_00001.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/progress_9621f_00001.csv,2021-11-10_23-29-17,37,MI_PC1by75_NMB400_01-03-20,MI_PC1by75_NMB400_01-03-20,SGD,0.003,True,leakyintegrator,item
2,leakyitem_mi_20_20-09-03,20,9621f_00002,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/network_9621f_00002.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/progress_9621f_00002.csv,2021-11-10_23-29-17,37,MI_PC1by75_NMB400_01-03-20,MI_PC1by75_NMB400_01-03-20,SGD,0.003,True,leakyintegrator,item
3,leakyitem_mi_20_20-09-03,20,9621f_00003,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/network_9621f_00003.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/progress_9621f_00003.csv,2021-11-10_23-29-17,37,MI_PC1by75_NMB400_01-03-20,MI_PC1by75_NMB400_01-03-20,SGD,0.003,True,leakyintegrator,item
4,leakyitem_mi_20_20-09-03,20,9621f_00004,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/network_9621f_00004.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/progress_9621f_00004.csv,2021-11-10_23-29-17,37,MI_PC1by75_NMB400_01-03-20,MI_PC1by75_NMB400_01-03-20,SGD,0.003,True,leakyintegrator,item
5,leakyitem_mi_20_20-09-03,20,9621f_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/network_9621f_00005.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/progress_9621f_00005.csv,2021-11-10_23-29-17,37,MI_PC1by75_NMB400_01-03-20,MI_PC1by75_NMB400_01-03-20,SGD,0.003,True,leakyintegrator,item
6,leakyitem_mi_20_20-09-03,20,9621f_00006,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/network_9621f_00006.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/progress_9621f_00006.csv,2021-11-10_23-29-17,37,MI_PC1by75_NMB400_01-03-20,MI_PC1by75_NMB400_01-03-20,SGD,0.003,True,leakyintegrator,item
7,leakyitem_mi_20_20-09-03,20,9621f_00007,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/network_9621f_00007.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/progress_9621f_00007.csv,2021-11-10_23-29-17,37,MI_PC1by75_NMB400_01-03-20,MI_PC1by75_NMB400_01-03-20,SGD,0.003,True,leakyintegrator,item
8,leakyitem_mi_20_20-09-03,20,9621f_00008,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/network_9621f_00008.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/progress_9621f_00008.csv,2021-11-10_23-29-17,37,MI_PC1by75_NMB400_01-03-20,MI_PC1by75_NMB400_01-03-20,SGD,0.003,True,leakyintegrator,item
9,leakyitem_mi_20_20-09-03,20,9621f_00009,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/network_9621f_00009.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/progress_9621f_00009.csv,2021-11-10_23-29-17,37,MI_PC1by75_NMB400_01-03-20,MI_PC1by75_NMB400_01-03-20,SGD,0.003,True,leakyintegrator,item
10,leakyitem_mi_20_20-09-03,20,9621f_00010,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/network_9621f_00010.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_mi_20_20-09-03/progress_9621f_00010.csv,2021-11-10_23-29-17,37,MI_PC1by75_NMB400_01-03-20,MI_PC1by75_NMB400_01-03-20,SGD,0.003,True,leakyintegrator,item
