,group_id,n_networks,network_id,network_path,progress_path,date,config/seed,config/train_dataset_name,config/validate_dataset_name,config/optimizer.name,config/optimizer.lr,config/shuffle_minibatches,config/model_class,config/estimate_type
0,leakyitem_nmb400_b_20_21-09-23,20,a95d5_00000,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/network_a95d5_00000.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/progress_a95d5_00000.csv,2021-11-10_23-29-51,37,B_PC1by75_NMB400_N1000_20-11-28,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,leakyintegrator,item
1,leakyitem_nmb400_b_20_21-09-23,20,a95d5_00001,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/network_a95d5_00001.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/progress_a95d5_00001.csv,2021-11-10_23-29-51,37,B_PC1by75_NMB400_N1000_20-11-28,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,leakyintegrator,item
2,leakyitem_nmb400_b_20_21-09-23,20,a95d5_00002,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/network_a95d5_00002.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/progress_a95d5_00002.csv,2021-11-10_23-29-51,37,B_PC1by75_NMB400_N1000_20-11-28,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,leakyintegrator,item
3,leakyitem_nmb400_b_20_21-09-23,20,a95d5_00003,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/network_a95d5_00003.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/progress_a95d5_00003.csv,2021-11-10_23-29-51,37,B_PC1by75_NMB400_N1000_20-11-28,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,leakyintegrator,item
4,leakyitem_nmb400_b_20_21-09-23,20,a95d5_00004,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/network_a95d5_00004.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/progress_a95d5_00004.csv,2021-11-10_23-29-51,37,B_PC1by75_NMB400_N1000_20-11-28,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,leakyintegrator,item
5,leakyitem_nmb400_b_20_21-09-23,20,a95d5_00005,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/network_a95d5_00005.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/progress_a95d5_00005.csv,2021-11-10_23-29-51,37,B_PC1by75_NMB400_N1000_20-11-28,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,leakyintegrator,item
6,leakyitem_nmb400_b_20_21-09-23,20,a95d5_00006,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/network_a95d5_00006.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/progress_a95d5_00006.csv,2021-11-10_23-29-51,37,B_PC1by75_NMB400_N1000_20-11-28,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,leakyintegrator,item
7,leakyitem_nmb400_b_20_21-09-23,20,a95d5_00007,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/network_a95d5_00007.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/progress_a95d5_00007.csv,2021-11-10_23-29-51,37,B_PC1by75_NMB400_N1000_20-11-28,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,leakyintegrator,item
8,leakyitem_nmb400_b_20_21-09-23,20,a95d5_00008,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/network_a95d5_00008.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/progress_a95d5_00008.csv,2021-11-10_23-29-51,37,B_PC1by75_NMB400_N1000_20-11-28,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,leakyintegrator,item
9,leakyitem_nmb400_b_20_21-09-23,20,a95d5_00009,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/network_a95d5_00009.pt,/home_local/cedric_foucault/networks_for_sequence_prediction/code/../trained_models/agents/leakyitem_nmb400_b_20_21-09-23/progress_a95d5_00009.csv,2021-11-10_23-29-51,37,B_PC1by75_NMB400_N1000_20-11-28,B_PC1by75_NMB160_28-02-20,SGD,0.003,True,leakyintegrator,item
