,dataset_name,group_id,network_id,predictor,outcome,decoder_fname,r2,r
0,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00000,hidden_state,io_confidence,io_confidence_hidden_state_1ad6e_00000_decoder.pkl,0.4951014944358427,0.7055222510185735
1,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00000,hidden_state,io_evidence,io_evidence_hidden_state_1ad6e_00000_decoder.pkl,0.9410122649128305,0.9701220572361126
2,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00000,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_1ad6e_00000_decoder.pkl,0.4021853661479807,0.6350341114240865
3,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00000,output,io_confidence,io_confidence_output_1ad6e_00000_decoder.pkl,-0.004790518316975634,0.026232413167645026
4,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00000,output,io_evidence,io_evidence_output_1ad6e_00000_decoder.pkl,0.9155691827907895,0.9568897850555064
5,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00000,output,io_lr_tplus1,io_lr_tplus1_output_1ad6e_00000_decoder.pkl,-0.001646506262403813,0.013065307041145209
6,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00001,hidden_state,io_confidence,io_confidence_hidden_state_1ad6e_00001_decoder.pkl,0.4746579330551346,0.6899592794350939
7,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00001,hidden_state,io_evidence,io_evidence_hidden_state_1ad6e_00001_decoder.pkl,0.9171934307293967,0.9579202531400148
8,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00001,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_1ad6e_00001_decoder.pkl,0.33424889803392965,0.5784360915110598
9,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00001,output,io_confidence,io_confidence_output_1ad6e_00001_decoder.pkl,-0.00482543988561468,0.02772714702532281
10,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00001,output,io_evidence,io_evidence_output_1ad6e_00001_decoder.pkl,0.8974935929576918,0.9474916441275525
