,dataset_name,group_id,network_id,predictor,outcome,decoder_fname,r2,r
0,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,hidden_state,io_confidence,io_confidence_hidden_state_7e9d1_00000_decoder.pkl,0.6123116670273994,0.7839532077838111
1,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,hidden_state,io_evidence,io_evidence_hidden_state_7e9d1_00000_decoder.pkl,0.976114629630938,0.9880024264258119
2,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_7e9d1_00000_decoder.pkl,0.607960674559084,0.7797879186084361
3,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_7e9d1_00000_decoder.pkl,0.8229474797760663,0.90735687486773
4,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_7e9d1_00000_decoder.pkl,0.978542206730226,0.9892540704321088
5,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_7e9d1_00000_decoder.pkl,0.8124191903553475,0.9013684937039191
6,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,hidden_all,io_confidence,io_confidence_hidden_all_7e9d1_00000_decoder.pkl,0.8912776526607,0.9441376042344071
7,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,hidden_all,io_evidence,io_evidence_hidden_all_7e9d1_00000_decoder.pkl,0.9807473761657698,0.9903688839150667
8,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,hidden_all,io_lr_tplus1,io_lr_tplus1_hidden_all_7e9d1_00000_decoder.pkl,0.8556812713809472,0.9250595009189887
9,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,output,io_confidence,io_confidence_output_7e9d1_00000_decoder.pkl,-0.005334642912011134,-0.005255324058610512
10,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,output,io_evidence,io_evidence_output_7e9d1_00000_decoder.pkl,0.9455453923582083,0.9723945202478042
11,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00000,output,io_lr_tplus1,io_lr_tplus1_output_7e9d1_00000_decoder.pkl,-0.0016735473705458137,-0.010134636081986443
12,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,hidden_state,io_confidence,io_confidence_hidden_state_7e9d1_00001_decoder.pkl,0.4405167681104538,0.6723323883417044
13,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,hidden_state,io_evidence,io_evidence_hidden_state_7e9d1_00001_decoder.pkl,0.9786453972425254,0.9892996575285583
14,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_7e9d1_00001_decoder.pkl,0.4298651713021754,0.659880914741804
15,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_7e9d1_00001_decoder.pkl,0.7113704871297499,0.8455958904268864
16,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_7e9d1_00001_decoder.pkl,0.9787760438712618,0.9893639418191928
17,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_7e9d1_00001_decoder.pkl,0.7636320440655096,0.8746091879895848
18,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,hidden_all,io_confidence,io_confidence_hidden_all_7e9d1_00001_decoder.pkl,0.7684261261443105,0.8771858623381394
19,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,hidden_all,io_evidence,io_evidence_hidden_all_7e9d1_00001_decoder.pkl,0.981107216865949,0.9905700305748628
20,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,hidden_all,io_lr_tplus1,io_lr_tplus1_hidden_all_7e9d1_00001_decoder.pkl,0.7904843948225245,0.889167937688122
21,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,output,io_confidence,io_confidence_output_7e9d1_00001_decoder.pkl,-0.0050264167454519,0.02013243876710392
22,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,output,io_evidence,io_evidence_output_7e9d1_00001_decoder.pkl,0.9488928782819838,0.9741295288231108
23,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00001,output,io_lr_tplus1,io_lr_tplus1_output_7e9d1_00001_decoder.pkl,-0.0013305015083799887,0.02174878183746313
24,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,hidden_state,io_confidence,io_confidence_hidden_state_7e9d1_00002_decoder.pkl,0.6588872886728383,0.8121356152664736
25,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,hidden_state,io_evidence,io_evidence_hidden_state_7e9d1_00002_decoder.pkl,0.970126928457107,0.9850625910244034
26,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_7e9d1_00002_decoder.pkl,0.6523341848555502,0.8076889703466414
27,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_7e9d1_00002_decoder.pkl,0.8236429089437816,0.9078309970985573
28,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_7e9d1_00002_decoder.pkl,0.9742039420191797,0.9870933162798265
29,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_7e9d1_00002_decoder.pkl,0.779231384929164,0.8829335839434757
30,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,hidden_all,io_confidence,io_confidence_hidden_all_7e9d1_00002_decoder.pkl,0.8615552931527246,0.9282212304953789
31,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,hidden_all,io_evidence,io_evidence_hidden_all_7e9d1_00002_decoder.pkl,0.9755210590770274,0.9877864254682898
32,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,hidden_all,io_lr_tplus1,io_lr_tplus1_hidden_all_7e9d1_00002_decoder.pkl,0.8182745043185191,0.9046552098879934
33,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,output,io_confidence,io_confidence_output_7e9d1_00002_decoder.pkl,-0.005220913228504598,0.011039053684151427
34,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,output,io_evidence,io_evidence_output_7e9d1_00002_decoder.pkl,0.9348492096978276,0.9669101608009782
35,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00002,output,io_lr_tplus1,io_lr_tplus1_output_7e9d1_00002_decoder.pkl,-0.0017302724247429957,0.003668707825363279
36,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00003,hidden_state,io_confidence,io_confidence_hidden_state_7e9d1_00003_decoder.pkl,0.8320151218312688,0.9143551115912727
37,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00003,hidden_state,io_evidence,io_evidence_hidden_state_7e9d1_00003_decoder.pkl,0.9771424053012279,0.988524476422221
38,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00003,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_7e9d1_00003_decoder.pkl,0.730328579371161,0.8554331265005755
39,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00003,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_7e9d1_00003_decoder.pkl,0.8576886430939175,0.9263891967606355
40,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00003,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_7e9d1_00003_decoder.pkl,0.9797224299773803,0.989875604089562
41,B_PC1by75_N1000_06-03-20,gru11_b_2020-12-11,7e9d1_00003,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_7e9d1_00003_decoder.pkl,0.8320357691733427,0.9122767257134863
