,dataset_name,group_id,network_id,predictor,outcome,decoder_fname,r2,r
0,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_confidence_0,io_confidence_0_hidden_state_b2b0f_00000_decoder.pkl,0.6638254636041354,0.816725732871775
1,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_confidence_1,io_confidence_1_hidden_state_b2b0f_00000_decoder.pkl,0.5653228534512478,0.7556546440284826
2,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_evidence_0,io_evidence_0_hidden_state_b2b0f_00000_decoder.pkl,0.9562763387293434,0.9778954691155123
3,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_evidence_1,io_evidence_1_hidden_state_b2b0f_00000_decoder.pkl,0.941817369062282,0.970478469004328
4,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_lr_tplus1_0,io_lr_tplus1_0_hidden_state_b2b0f_00000_decoder.pkl,0.7177373628440686,0.8480759856703395
5,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_lr_tplus1_1,io_lr_tplus1_1_hidden_state_b2b0f_00000_decoder.pkl,0.6572641833605045,0.8126664460558489
6,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_confidence_xt,io_confidence_xt_hidden_state_b2b0f_00000_decoder.pkl,0.4834904097780858,0.6990718811961224
7,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_confidence_1minusxt,io_confidence_1minusxt_hidden_state_b2b0f_00000_decoder.pkl,0.5785259414212005,0.7636442062468377
8,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_evidence_xt,io_evidence_xt_hidden_state_b2b0f_00000_decoder.pkl,0.9687334627581644,0.9842518218594578
9,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_evidence_1minusxt,io_evidence_1minusxt_hidden_state_b2b0f_00000_decoder.pkl,0.9142123622152809,0.9561716015698651
10,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_lr_tplus1_xt,io_lr_tplus1_xt_hidden_state_b2b0f_00000_decoder.pkl,0.39308186220266716,0.631336230886679
11,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_state,io_lr_tplus1_1minusxt,io_lr_tplus1_1minusxt_hidden_state_b2b0f_00000_decoder.pkl,0.08479588138376959,0.29462988759359326
12,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_confidence_0,io_confidence_0_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.6630168436810133,0.8161158649527501
13,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_confidence_1,io_confidence_1_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.5985675429634383,0.7768490032023047
14,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_evidence_0,io_evidence_0_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.9265020150832625,0.9626189922729604
15,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_evidence_1,io_evidence_1_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.9446943769526536,0.972055347016234
16,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_lr_tplus1_0,io_lr_tplus1_0_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.7709182986444638,0.8790043906737974
17,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_lr_tplus1_1,io_lr_tplus1_1_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.7165258637275049,0.8480134974065892
18,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_confidence_xt,io_confidence_xt_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.5247933218760872,0.726665406172534
19,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_confidence_1minusxt,io_confidence_1minusxt_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.5852826747493094,0.7697057167463254
20,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_evidence_xt,io_evidence_xt_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.9444914833681686,0.9718564477539905
21,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_evidence_1minusxt,io_evidence_1minusxt_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.849579982412592,0.9219043790265854
22,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_lr_tplus1_xt,io_lr_tplus1_xt_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.4418404529263197,0.667979059087226
23,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_gates_tplus1,io_lr_tplus1_1minusxt,io_lr_tplus1_1minusxt_hidden_gates_tplus1_b2b0f_00000_decoder.pkl,0.37780408964520673,0.6160704741478484
24,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_confidence_0,io_confidence_0_hidden_all_b2b0f_00000_decoder.pkl,0.7698528505943243,0.8777801943771248
25,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_confidence_1,io_confidence_1_hidden_all_b2b0f_00000_decoder.pkl,0.7011084943623586,0.8400449836155921
26,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_evidence_0,io_evidence_0_hidden_all_b2b0f_00000_decoder.pkl,0.9652296029947856,0.9824730230357399
27,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_evidence_1,io_evidence_1_hidden_all_b2b0f_00000_decoder.pkl,0.9565053895368331,0.9781114204025303
28,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_lr_tplus1_0,io_lr_tplus1_0_hidden_all_b2b0f_00000_decoder.pkl,0.8211726574341945,0.9067079697623462
29,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_lr_tplus1_1,io_lr_tplus1_1_hidden_all_b2b0f_00000_decoder.pkl,0.7702964212524092,0.8788425767427596
30,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_confidence_xt,io_confidence_xt_hidden_all_b2b0f_00000_decoder.pkl,0.6876798261112584,0.830047668621733
31,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_confidence_1minusxt,io_confidence_1minusxt_hidden_all_b2b0f_00000_decoder.pkl,0.6399169610741959,0.8027270116674349
32,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_evidence_xt,io_evidence_xt_hidden_all_b2b0f_00000_decoder.pkl,0.9699078029080864,0.9848430433044894
33,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_evidence_1minusxt,io_evidence_1minusxt_hidden_all_b2b0f_00000_decoder.pkl,0.9440654823278701,0.9717215811355175
34,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_lr_tplus1_xt,io_lr_tplus1_xt_hidden_all_b2b0f_00000_decoder.pkl,0.5917488507612807,0.7705494030221752
35,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,hidden_all,io_lr_tplus1_1minusxt,io_lr_tplus1_1minusxt_hidden_all_b2b0f_00000_decoder.pkl,0.5346486303407929,0.7327779932616799
36,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,output,io_confidence_0,io_confidence_0_output_b2b0f_00000_decoder.pkl,0.3797792318451444,0.6204009925910862
37,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,output,io_confidence_1,io_confidence_1_output_b2b0f_00000_decoder.pkl,0.37984551586940285,0.6219441479513939
38,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,output,io_evidence_0,io_evidence_0_output_b2b0f_00000_decoder.pkl,0.29491497205366024,0.5431709164206994
39,MI_PC1by75_N1000_06-03-20,gru11_mi_2020-12-11,b2b0f_00000,output,io_evidence_1,io_evidence_1_output_b2b0f_00000_decoder.pkl,0.365909259031008,0.606518127832325
