,dataset_name,group_id,network_id,predictor,outcome,decoder_fname,r2,r
0,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,hidden_state,io_confidence,io_confidence_hidden_state_fed97_00000_decoder.pkl,0.356548937904567,0.5973331372221785
1,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,hidden_state,io_evidence,io_evidence_hidden_state_fed97_00000_decoder.pkl,0.9403052494487032,0.9696990803659502
2,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_fed97_00000_decoder.pkl,0.2060852539735396,0.4553195081367253
3,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_fed97_00000_decoder.pkl,0.40309567629840637,0.6354624205506286
4,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_fed97_00000_decoder.pkl,0.9422911203334665,0.9707331610959702
5,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_fed97_00000_decoder.pkl,0.30869021138364217,0.5570147532690713
6,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,hidden_all,io_confidence,io_confidence_hidden_all_fed97_00000_decoder.pkl,0.5802152413843515,0.7620073094734797
7,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,hidden_all,io_evidence,io_evidence_hidden_all_fed97_00000_decoder.pkl,0.9425689616570968,0.9708838762117186
8,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,hidden_all,io_lr_tplus1,io_lr_tplus1_hidden_all_fed97_00000_decoder.pkl,0.5517773008149505,0.7434782119419912
9,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,output,io_confidence,io_confidence_output_fed97_00000_decoder.pkl,-0.005286953094064684,-0.01238782977521375
10,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,output,io_evidence,io_evidence_output_fed97_00000_decoder.pkl,0.9132787816331244,0.9556798643808562
11,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00000,output,io_lr_tplus1,io_lr_tplus1_output_fed97_00000_decoder.pkl,-0.001716182219513307,-0.009710709556201158
12,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,hidden_state,io_confidence,io_confidence_hidden_state_fed97_00001_decoder.pkl,0.29985478750206707,0.5477739095333776
13,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,hidden_state,io_evidence,io_evidence_hidden_state_fed97_00001_decoder.pkl,0.9443455659844429,0.9718103697228256
14,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_fed97_00001_decoder.pkl,0.14940048728313382,0.3886767091646312
15,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_fed97_00001_decoder.pkl,0.40098618468517033,0.6368061171699663
16,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_fed97_00001_decoder.pkl,0.9458586852234798,0.9726157600733755
17,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_fed97_00001_decoder.pkl,0.330703704050634,0.5839298091517341
18,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,hidden_all,io_confidence,io_confidence_hidden_all_fed97_00001_decoder.pkl,0.4598317418394051,0.6796522684994216
19,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,hidden_all,io_evidence,io_evidence_hidden_all_fed97_00001_decoder.pkl,0.9491150176594411,0.9742996959721022
20,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,hidden_all,io_lr_tplus1,io_lr_tplus1_hidden_all_fed97_00001_decoder.pkl,0.40508140138378335,0.6395058069560079
21,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,output,io_confidence,io_confidence_output_fed97_00001_decoder.pkl,-0.005298121074599482,-0.013044662826635465
22,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,output,io_evidence,io_evidence_output_fed97_00001_decoder.pkl,0.9195366123798947,0.9589602344109811
23,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00001,output,io_lr_tplus1,io_lr_tplus1_output_fed97_00001_decoder.pkl,-0.0016700206941728801,-0.012985759232428654
24,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,hidden_state,io_confidence,io_confidence_hidden_state_fed97_00002_decoder.pkl,0.498127936279397,0.7066229856414861
25,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,hidden_state,io_evidence,io_evidence_hidden_state_fed97_00002_decoder.pkl,0.9430983180944151,0.9711346616110308
26,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_fed97_00002_decoder.pkl,0.3649148618218645,0.6075049874853076
27,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_fed97_00002_decoder.pkl,0.5393212728960929,0.7364746793480427
28,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_fed97_00002_decoder.pkl,0.9440570475458921,0.9716287511907412
29,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_fed97_00002_decoder.pkl,0.45493113780919525,0.6825613561213858
30,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,hidden_all,io_confidence,io_confidence_hidden_all_fed97_00002_decoder.pkl,0.5953197364011774,0.7718973677168229
31,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,hidden_all,io_evidence,io_evidence_hidden_all_fed97_00002_decoder.pkl,0.945568741608322,0.9724246605890513
32,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,hidden_all,io_lr_tplus1,io_lr_tplus1_hidden_all_fed97_00002_decoder.pkl,0.5484635602625785,0.7415157698836297
33,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,output,io_confidence,io_confidence_output_fed97_00002_decoder.pkl,-0.0051013916523869884,0.02058965212106163
34,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,output,io_evidence,io_evidence_output_fed97_00002_decoder.pkl,0.911792772647914,0.9549157276812228
35,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00002,output,io_lr_tplus1,io_lr_tplus1_output_fed97_00002_decoder.pkl,-0.0016284682612113244,0.015334671173090095
36,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,hidden_state,io_confidence,io_confidence_hidden_state_fed97_00003_decoder.pkl,0.25155960153633294,0.5016863299414992
37,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,hidden_state,io_evidence,io_evidence_hidden_state_fed97_00003_decoder.pkl,0.9472964530528037,0.9733294701135512
38,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_fed97_00003_decoder.pkl,0.06853804388200802,0.26262725416574256
39,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_fed97_00003_decoder.pkl,0.38680920483840475,0.623100738267147
40,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_fed97_00003_decoder.pkl,0.947577944882613,0.9734841122543989
41,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_fed97_00003_decoder.pkl,0.2646049802160564,0.5185509140268991
42,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,hidden_all,io_confidence,io_confidence_hidden_all_fed97_00003_decoder.pkl,0.561656459802369,0.7505477770873422
43,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,hidden_all,io_evidence,io_evidence_hidden_all_fed97_00003_decoder.pkl,0.9505773494286005,0.974989692519612
44,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,hidden_all,io_lr_tplus1,io_lr_tplus1_hidden_all_fed97_00003_decoder.pkl,0.4931957015127484,0.7054494727046897
45,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,output,io_confidence,io_confidence_output_fed97_00003_decoder.pkl,-0.005240997605282294,-0.01734055773711469
46,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,output,io_evidence,io_evidence_output_fed97_00003_decoder.pkl,0.9146610969390361,0.9564177653534842
47,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00003,output,io_lr_tplus1,io_lr_tplus1_output_fed97_00003_decoder.pkl,-0.0016636996034853357,-0.014595852840064493
48,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00004,hidden_state,io_confidence,io_confidence_hidden_state_fed97_00004_decoder.pkl,0.5026022763692404,0.7092959741967721
49,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00004,hidden_state,io_evidence,io_evidence_hidden_state_fed97_00004_decoder.pkl,0.9405121115758194,0.9698261060426387
50,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00004,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_fed97_00004_decoder.pkl,0.3726591912802355,0.6114621290727186
51,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00004,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_fed97_00004_decoder.pkl,0.54460348050794,0.7390068572572335
52,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00004,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_fed97_00004_decoder.pkl,0.9427470331632674,0.9709936369009986
53,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00004,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_fed97_00004_decoder.pkl,0.49504923640011433,0.7063487626546316
54,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00004,hidden_all,io_confidence,io_confidence_hidden_all_fed97_00004_decoder.pkl,0.5729813967007902,0.7570173008710376
55,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00004,hidden_all,io_evidence,io_evidence_hidden_all_fed97_00004_decoder.pkl,0.9469823400471571,0.9732302520241349
