,dataset_name,group_id,network_id,predictor,outcome,decoder_fname,r2,r
0,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,hidden_state,io_confidence,io_confidence_hidden_state_563e6_00000_decoder.pkl,0.38880061988168335,0.6244006070415703
1,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,hidden_state,io_evidence,io_evidence_hidden_state_563e6_00000_decoder.pkl,0.9324961443770163,0.9660029267487251
2,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_563e6_00000_decoder.pkl,0.292015346960932,0.5416806292147797
3,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_563e6_00000_decoder.pkl,0.46717603265793406,0.6839504314110499
4,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_563e6_00000_decoder.pkl,0.9384363625051747,0.968979120460393
5,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_563e6_00000_decoder.pkl,0.4099164219270426,0.640538693374468
6,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,hidden_all,io_confidence,io_confidence_hidden_all_563e6_00000_decoder.pkl,0.5180093306760418,0.7230800360721332
7,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,hidden_all,io_evidence,io_evidence_hidden_all_563e6_00000_decoder.pkl,0.9423182330632693,0.9711794313039062
8,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,hidden_all,io_lr_tplus1,io_lr_tplus1_hidden_all_563e6_00000_decoder.pkl,0.4755358442529677,0.6917093994600229
9,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,output,io_confidence,io_confidence_output_563e6_00000_decoder.pkl,-0.004893586171305309,0.017661690577989494
10,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,output,io_evidence,io_evidence_output_563e6_00000_decoder.pkl,0.9086505245448153,0.9532495428153586
11,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00000,output,io_lr_tplus1,io_lr_tplus1_output_563e6_00000_decoder.pkl,-0.0015311475880701586,0.013152431313113016
12,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,hidden_state,io_confidence,io_confidence_hidden_state_563e6_00001_decoder.pkl,0.4403961269119129,0.6648859748525293
13,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,hidden_state,io_evidence,io_evidence_hidden_state_563e6_00001_decoder.pkl,0.8963384333936553,0.9469910615702052
14,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_563e6_00001_decoder.pkl,0.2355274452057825,0.4862626190155582
15,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_563e6_00001_decoder.pkl,0.4469920305965106,0.6697520407241473
16,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_563e6_00001_decoder.pkl,0.898544890230053,0.9482716382484913
17,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_563e6_00001_decoder.pkl,0.27748856195053584,0.5281107274620199
18,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,hidden_all,io_confidence,io_confidence_hidden_all_563e6_00001_decoder.pkl,0.46547184772588734,0.6842663836334599
19,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,hidden_all,io_evidence,io_evidence_hidden_all_563e6_00001_decoder.pkl,0.90106487967064,0.9497280692548645
20,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,hidden_all,io_lr_tplus1,io_lr_tplus1_hidden_all_563e6_00001_decoder.pkl,0.31152874940922615,0.5616340305394788
21,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,output,io_confidence,io_confidence_output_563e6_00001_decoder.pkl,-0.0048526560591153345,0.025158098295621403
22,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,output,io_evidence,io_evidence_output_563e6_00001_decoder.pkl,0.8675097845177068,0.93162919884514
23,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00001,output,io_lr_tplus1,io_lr_tplus1_output_563e6_00001_decoder.pkl,-0.0023391329728166266,0.00910807150536006
24,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00002,hidden_state,io_confidence,io_confidence_hidden_state_563e6_00002_decoder.pkl,0.2986747759651529,0.5482101755823924
25,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00002,hidden_state,io_evidence,io_evidence_hidden_state_563e6_00002_decoder.pkl,0.9372803363908075,0.9681798083805933
26,B_PC1by75_N1000_06-03-20,grureservoir11_b_2020-12-11,563e6_00002,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_563e6_00002_decoder.pkl,0.17647806249222664,0.4204817326022812
